	vs ECR	PTS	PLAYER	ATTD	PASS_TD	PASS_YD	INT	RUSH_YD	REC	REC_YD	INC
TE64	'+8	0.3	Jaheim Bell	-	-	-	-	-	0.1	0.24	,rec,rec_yd,
RB76	'+17	0.3	Joshua Kelley	0.33	-	-	-	-	-	-	,rush_yd,rec,rec_yd,
TE65	-3	0.3	Tip Reiman	0.06	-	-	-	-	0.1	0.16	,rec,rec_yd,
TE66	-	0.3	Feleipe Franks	-	-	-	-	-	0.1	0.19	,rec,rec_yd,
WR121	'+12	0.3	Cody White	0.12	-	-	-	-	0.05	0.12	,rec,rec_yd,
TE67	'+12	0.3	Will Mallory	-	-	-	-	-	0.1	0.18	,rec,rec_yd,
WR122	-4	0.3	Jhaquan Jackson	0.09	-	-	-	-	0.05	0.13	,rec,rec_yd,
RB77	'+13	0.3	Raheem Blackshear	0.06	-	-	-	0.09	0.05	0.06	,rush_yd,rec,rec_yd,
RB78	'+10	0.3	Ronnie Rivers	0.21	-	-	-	0.02	-	0.03	,rush_yd,rec,rec_yd,
RB79	'+7	0.2	Kenny Mcintosh	-	-	-	-	0.15	0.05	0.05	,rush_yd,rec,rec_yd,
RB80	'+3	0.2	Sione Vaki	-	-	-	-	0.06	0.05	0.09	,rush_yd,rec,rec_yd,
TE68	'+18	0.2	Jack Stoll	-	-	-	-	-	0.05	0.15	,rec,rec_yd,
WR123	'+17	0.2	Ihmir Smith Marsette	0.06	-	-	-	-	0.05	0.06	,rec,rec_yd,
WR124	'+13	0.2	Ronnie Bell	-	-	-	-	-	0.05	0.12	,rec,rec_yd,
WR125	'+13	0.2	Tyler Scott	-	-	-	-	-	0.05	0.11	,rec,rec_yd,
RB81	'+17	0.2	Kimani Vidal	-	-	-	-	0.04	0.05	0.06	,rush_yd,rec,rec_yd,
WR126	-	0.1	Steven Sims	0.15	-	-	-	-	-	-	,rec,rec_yd,
WR127	-	0.1	Devontez Walker	-	-	-	-	-	0.05	0.08	,rec,rec_yd,
WR128	-	0.1	Dee Eskridge	-	-	-	-	-	0.05	0.08	,rec,rec_yd,
RB82	'+20	0.1	Jeff Wilson	0.01	-	-	-	0.09	-	0.03	,rush_yd,rec,rec_yd,
TE69	'+4	0.1	Teagan Quitoriano	0.09	-	-	-	-	-	-	,rec,rec_yd,
RB83	-	0.1	Cody Schrader	-	-	-	-	0.02	0.05	0.01	,rush_yd,rec,rec_yd,
WR129	-	0.1	Xavier Weaver	0.06	-	-	-	-	-	-	,rec,rec_yd,
TE70	'+4	0.1	Ko Kieft	0.06	-	-	-	-	-	-	,rec,rec_yd,
WR130	-	0.1	Dareke Young	0.06	-	-	-	-	-	-	,rec,rec_yd,
RB84	'+19	0.1	Rasheen Ali	-	-	-	-	0.02	-	0.03	,rush_yd,rec,rec_yd,
WR131	'+12	0.1	Jacob Cowing	-	-	-	-	-	-	0.05	,rec,rec_yd,
WR132	-	0.0	Anthony Gould	-	-	-	-	-	-	0.03	,rec,rec_yd,
WR133	-	0.0	Britain Covey	0.01	-	-	-	-	-	-	,rec,rec_yd,
WR134	'+8	0.0	Xavier Smith	-	-	-	-	-	-	-	,rec,rec_yd,
TE71	'+12	0.0	Tyler Mabry	-	-	-	-	-	-	-	,rec,rec_yd,
TE72	-	0.0	Travis Vokolek	-	-	-	-	-	-	-	,rec,rec_yd,
TE73	'+7	0.0	Princeton Fant	-	-	-	-	-	-	-	,rec,rec_yd,
TE74	-	0.0	Nick Muse	-	-	-	-	-	-	-	,rec,rec_yd,
TE75	'+1	0.0	Marcedes Lewis	-	-	-	-	-	-	-	,rec,rec_yd,
TE76	-	0.0	Justin Shorter	-	-	-	-	-	-	-	,rec,rec_yd,
TE77	0	0.0	John Fitzpatrick	-	-	-	-	-	-	-	,rec,rec_yd,
WR135	-	0	Jalen Moreno Cropper	-	-	-	-	-	-	-	,,
TE78	'+3	0.0	Jake Tonges	-	-	-	-	-	-	-	,rec,rec_yd,
TE79	-	0.0	Ian Thomas	-	-	-	-	-	-	-	,rec,rec_yd,
TE80	-	0.0	David Martin Robinson	-	-	-	-	-	-	-	,rec,rec_yd,
WR136	-	0.0	Collin Johnson	-	-	-	-	-	-	-	,rec,rec_yd,
TE81	'+1	0.0	Cj Uzomah	-	-	-	-	-	-	-	,rec,rec_yd,
WR137	-	0.0	Bryce Ford Wheaton	-	-	-	-	-	-	-	,rec,rec_yd,
TE82	-	0.0	Brayden Willis	-	-	-	-	-	-	-	,rec,rec_yd,
WR138	-	0.0	Alex Bachman	-	-	-	-	-	-	-	,rec,rec_yd,
