EV	EV Book	Imp	Player	Prop	O/U	FD	DK	MGM	BV	CZ	Kambi/BR	PN	bet365	ESPN	Circa
-1.2	-115 BR	53%	SF	team_wins	o 79.5	-	-	-120/+100	-	-	-115/-106	-126/106	-	-	-
-1.2	-105 FD	51%	Corey Seager	hr	o 28.5	-105/-115	-	-115/-115	-125/-105	-	-	-	-110/-110	-	-
-1.3	250 DK	29%	SEA	division	o  	'+210	'+250	-	-	210	200	211	-	-	-
-1.3	-104 BR	51%	PHI	team_wins	o 90.5	-	-	-115/-105	-115/-115	-110/-110	-104/-121	-	-	-	-
-1.3	-110 BR	52%	HOU	team_wins	u 86.5	-	-	-110/-110	-105/-125	100/-120	-110/-110	103/-123	-	-	-
-1.4	-105 MGM	51%	PHI	team_wins	u 90.5	-	-	-115/-105	-115/-115	-110/-110	-104/-121	-	-	-	-
-1.4	-105 365	51%	James Wood	hr	o 17.5	-	-	-120/-110	-	-110/-110	-	-	-105/-115	-	-
-1.5	-120 BV	55%	LAA	team_wins	o 71.5	-	-120/+100	-	-120/-110	-	-	-137/115	-	-	-
-1.5	-110 CZ	52%	Corbin Carroll	sb	o 38.5	-120/-106	-	-	-125/-105	-110/-110	-	-	-115/-105	-	-
-1.5	-110 BR	52%	CHW	team_wins	o 54.5	-	-	-115/-105	-125/-105	-	-110/-110	-	-	-	-
-1.5	-140 DK	58%	CHC	playoffs	o  	-158/+128	-140/+115	-	-165/+125	-140/115	-	-	-	-	-
-1.6	-150 BR	60%	Paul Skenes	k	o 199.5	-215	-150	-	-	-	-150	-	-160	-	-
-1.6	-2500 DK	96%	LAD	playoffs	o  	-10000/+2500	-2500/+1300	-	-10000/+1400	-5000/1500	-	-	-	-	-
-1.6	-110 365	52%	Jazz Chisholm	sb	o 33.5	-113/-113	-	-	-130/100	-	-	-	-110/-110	-	-
-1.6	-110 365	52%	Dylan Cease	k	u 205.5	-113/-113	-	'+110/-140	-110/-120	-	-	-	-110/-110	-115/-115	-
-1.7	-20000 BV	100%	CHW	playoffs	u  	'+5500/-100000	'+4000/-20000	-	'+3000/-20000	4000/-10000000	-	-	-	-	-
-1.8	-105 BV	51%	Corey Seager	hr	u 28.5	-105/-115	-	-115/-115	-125/-105	-	-	-	-110/-110	-	-
-1.9	220 FD	31%	MIN	division	o  	'+220	'+210	-	-	165	185	192	-	-	-
-1.9	-500 DK	83%	LAD	division	o  	-750	-500	-	-	-700	-670	-681	-	-	-
-2.0	230 365	30%	Yordan Alvarez	hr	o 39.5	'+176	'+210	-	-	-	-	-	'+230	'+200	-
-2.0	-110 MGM	52%	Riley Greene	hr	u 21.5	-	-	-120/-110	-115/-115	-	-	-	-	'+100/-125	-
-2.0	-110 CZ	52%	Kyle Schwarber	hr	o 35.5	-	-	-	-115/-115	-110/-110	-	-	-	-125/+100	-
-2.1	-102 FD	50%	SEA	playoffs	o  	-102/-120	-110/-110	-	-105/-125	-110/-110	-112/-112	-	-	-	-
-2.1	210 FD	32%	Pablo Lopez	k	o 199.5	'+210	-	-	'+210	-	-	-	'+155	-	-
-2.1	-250 DK	71%	NYM	playoffs	o  	-290/+225	-250/+205	-	-260/+190	-325/250	-265/200	-	-	-	-
-2.1	-110 MGM	52%	LAA	team_wins	u 72.5	-	-	-110/-110	-	-110/-110	100/-125	-	-	-	-
-2.1	-102 FD	50%	Julio Rodriguez	sb	u 26.5	-128/-102	-	-	-120/-110	-110/-110	-	-	-	-	-
-2.1	-110 CZ	52%	Elly De La Cruz	sb	o 53.5	-120/-106	-	-	-	-110/-110	-	-	-115/-105	-	-
-2.2	400 FD	20%	Rafael Devers	hr	o 39.5	'+400	'+275	-	-	-	-	-	'+360	-	-
-2.2	128 FD	44%	CHC	playoffs	u  	-158/+128	-140/+115	-	-165/+125	-140/115	-	-	-	-	-
-2.2	-118 FD	54%	ARI	playoffs	o  	-118/-104	-125/+105	-	-130/100	-125/-105	-130/105	-	-	-	-
-2.3	100 ESPN	50%	Pete Alonso	hr	u 34.5	-	-	-	-125/-105	-	-113/-113	-	-	-125/+100	-
-2.3	-1000 CZ	91%	LAA	playoffs	u  	'+680/-1200	'+900/-1800	-	'+650/-1400	650/-1000	800/-1667	-	-	-	-
-2.3	100 365	50%	Fernando Tatis	hr	o 30.5	-105/-115	-	-105/-125	-115/-115	-	-	-	'+100/-130	-	-
-2.3	-109 PN	52%	DET	team_wins	o 83.5	-	-110/-110	-115/-105	-125/-105	-	-	-109/-109	-	-	-
-2.3	-8000 CZ	99%	COL	playoffs	u  	'+4000/-100000	'+3000/-10000	-	'+2000/-10000	1400/-8000	2500/-10000	-	-	-	-
-2.3	340 DK	23%	Cody Bellinger	hr	o 29.5	'+255	'+340	-	-	-	-	-	'+270	'+300	-
-2.3	-110 365	52%	Austin Riley	hr	u 30.5	'+100/-122	-	-	-	-	-	-	-110/-110	-115/-115	-
-2.3	-800 CZ	89%	ATH	playoffs	u  	'+680/-1200	'+850/-1400	-	'+550/-1000	460/-800	500/-835	-	-	-	-
-2.4	-105 DK	51%	Yordan Alvarez	hr	o 34.5	-	-105	-	-115/-115	-	-	-	-	-115/-115	-
-2.4	-105 MGM	51%	Yordan Alvarez	hr	u 33.5	-	-	-125/-105	-	-	-113/-113	-	-110/-110	-	-
-2.4	-105 MGM	51%	Mark Vientos	hr	o 28.5	-	-	-105/-125	-115/-115	-	-	-	-	-115/-115	-
-2.4	-105 BV	51%	Marcell Ozuna	hr	u 31.5	-	-	-115/-115	-125/-105	-	-110/-110	-	-	-	-
-2.4	-105 365	51%	Kerry Carpenter	hr	u 20.5	-	-	-115/-115	-	-	-	-	-115/-105	-115/-115	-
-2.4	-105 CZ	51%	Julio Rodriguez	hr	u 25.5	-	-	-	-	-115/-105	-113/-113	-	-110/-110	-	-
-2.4	-105 365	51%	Corbin Carroll	hr	o 21.5	-	-	-	-115/-115	-110/-110	-	-	-105/-115	-	-
-2.4	350 DK	22%	BOS	division	o  	'+260	'+350	-	-	300	275	293	-	-	-
-2.4	-105 FD	51%	Anthony Santander	hr	o 31.5	-105/-115	-	-	-115/-115	-	-	-	-110/-110	-	-
-2.5	-110 DK	52%	SEA	playoffs	u  	-102/-120	-110/-110	-	-105/-125	-110/-110	-112/-112	-	-	-	-
-2.5	-110 MGM	52%	SD	team_wins	u 85.5	-	-110/-110	-110/-110	-115/-115	100/-120	-	102/-121	-	-	-
-2.5	-475 DK	83%	PIT	playoffs	u  	'+490/-750	'+360/-475	-	'+380/-600	380/-525	325/-480	-	-	-	-
-2.5	-110 365	52%	Lawrence Butler	hr	o 23.5	-	-	-115/-115	-	-120/100	-	-	-110/-110	-	-
-2.5	100 365	50%	Ketel Marte	hr	u 25.5	-	-	-120/-110	-	-110/-110	-	-	-130/+100	-125/+100	-
-2.6	-110 365	52%	Yordan Alvarez	hr	o 33.5	-	-	-125/-105	-	-	-113/-113	-	-110/-110	-	-
-2.6	-240 BV	71%	TB	playoffs	u  	'+210/-280	'+200/-250	-	'+175/-240	-	200/-265	-	-	-	-
-2.6	180 365	36%	Michael King	k	o 199.5	'+142	'+160	-	-	-	175	-	'+180	-	-
-2.6	-110 BR	52%	Marcell Ozuna	hr	o 31.5	-	-	-115/-115	-125/-105	-	-110/-110	-	-	-	-
-2.6	-110 365	52%	Juan Soto	h	u 154.5	-	-	-110/-120	-110/-120	-	-	-	-110/-110	-	-
-2.7	-6000 BV	98%	MIA	playoffs	u  	'+2500/-10000	'+2000/-10000	-	'+1800/-6000	2200/-15000	2000/-10000	-	-	-	-
-2.8	105 365	49%	Francisco Lindor	rbi	o 89.5	-	'+100	-	-105/-125	-	-	-	'+105	-	-
-2.8	-142 FD	59%	CLE	playoffs	u  	'+116/-142	'+120/-145	-	'+125/-165	125/-145	115/-148	-	-	-	-
-2.9	-1300 CZ	93%	WSH	playoffs	u  	'+1040/-2500	'+850/-1400	-	'+775/-1900	700/-1300	850/-2000	-	-	-	-
-2.9	-115 MGM	53%	Rafael Devers	hr	u 30.5	-	-	-115/-115	-	-	-	-	-105/-115	'+100/-125	-
-2.9	-155 365	61%	Jazz Chisholm	sb	o 29.5	-174	-170	-	-	-	-	-	-155	-	-
-2.9	105 BR	49%	ARI	playoffs	u  	-118/-104	-125/+105	-	-130/100	-125/-105	-130/105	-	-	-	-
-3.0	225 FD	31%	SF	playoffs	o  	'+225/-300	'+205/-250	-	'+200/-275	200/-255	205/-265	-	-	-	-
-3.0	-105 FD	51%	Francisco Lindor	hr	o 27.5	-105/-115	-	-120/-110	-105/-125	-	-	-	-110/-110	-115/-115	-
-3.1	-250 DK	71%	SF	playoffs	u  	'+225/-300	'+205/-250	-	'+200/-275	200/-255	205/-265	-	-	-	-
-3.1	-109 PN	52%	NYY	team_wins	u 88.5	-	-	'+100/-120	-120/-110	-	-	-109/-109	-	-	-
-3.1	-110 DK	52%	NYM	team_wins	u 90.5	-	-110/-110	'+100/-120	-115/-115	-	-112/-112	-	-	-	-
-3.1	-110 MGM	52%	Francisco Lindor	hr	u 27.5	-105/-115	-	-120/-110	-105/-125	-	-	-	-110/-110	-115/-115	-
-3.1	125 BV	44%	CLE	playoffs	o  	'+116/-142	'+120/-145	-	'+125/-165	125/-145	115/-148	-	-	-	-
-3.2	-110 CZ	52%	Matt Olson	hr	o 32.5	-	-	-	-	-110/-110	-125/100	-	-	-110/-120	-
-3.2	-113 BR	53%	Cal Raleigh	hr	o 29.5	-	-115	-	-	-	-113/-113	-	-130	-	-
-3.3	425 DK	19%	Kerry Carpenter	hr	o 29.5	'+300	'+425	-	-	-	-	-	'+350	'+350	-
-3.3	-115 FD	53%	Fernando Tatis	hr	u 30.5	-105/-115	-	-105/-125	-115/-115	-	-	-	'+100/-130	-	-
-3.5	170 BR	37%	Sonny Gray	k	o 199.5	-	'+155	-	-	-	170	-	'+150	-	-
-3.5	-110 365	52%	Julio Rodriguez	hr	o 25.5	-	-	-	-	-115/-105	-113/-113	-	-110/-110	-	-
-3.5	-110 MGM	52%	James Wood	hr	u 17.5	-	-	-120/-110	-	-110/-110	-	-	-105/-115	-	-
-3.5	130 365	43%	Francisco Lindor	hr	o 29.5	'+116	'+125	-	-	-	-	-	'+130	'+115	-
-3.5	-110 CZ	52%	Corbin Carroll	hr	u 21.5	-	-	-	-115/-115	-110/-110	-	-	-105/-115	-	-
-3.5	-110 365	52%	Anthony Santander	hr	u 31.5	-105/-115	-	-	-115/-115	-	-	-	-110/-110	-	-
-3.5	-105 MGM	51%	Alex Bregman	hr	o 21.5	-105/-115	-	-105/-115	-	-	-	-	-	-115/-115	-
-3.7	-105 MGM	51%	DET	team_wins	u 83.5	-	-110/-110	-115/-105	-125/-105	-	-	-109/-109	-	-	-
-3.7	-115 365	53%	Aaron Judge	hr	u 48.5	-	-	-105/-125	-110/-120	-	-	-	-105/-115	-105/-120	-
-3.8	330 FD	23%	Jose Ramirez	sb	o 39.5	'+330	'+240	-	-	-	-	-	'+325	'+260	-
-3.9	-105 365	51%	Elly De La Cruz	sb	u 53.5	-120/-106	-	-	-	-110/-110	-	-	-115/-105	-	-
-4.1	-115 CZ	53%	Bobby Witt	sb	o 32.5	-120/-106	-	-	-	-115/-105	-	-	-115/-105	-	-
-4.2	130 365	43%	Jorge Soler	hr	o 29.5	-	'+120	-	-	-	-	-	'+130	'+120	-
-4.2	-105 BV	51%	Corbin Carroll	sb	u 38.5	-120/-106	-	-	-125/-105	-110/-110	-	-	-115/-105	-	-
-4.3	210 FD	32%	TB	playoffs	o  	'+210/-280	'+200/-250	-	'+175/-240	-	200/-265	-	-	-	-
-4.3	-120 BV	55%	Manny Machado	hr	o 29.5	-	-125	-	-120/-110	-	-	-	-130	-	-
-4.5	-110 365	52%	Zac Gallen	k	u 163.5	-113/-113	-	-115/-115	-	-	-	-	-110/-110	-115/-115	-
-4.5	-110 365	52%	Zac Gallen	k	o 163.5	-113/-113	-	-115/-115	-	-	-	-	-110/-110	-115/-115	-
-4.5	-110 365	52%	Yusei Kikuchi	k	u 176.5	-113/-113	-	-115/-115	-	-	-	-	-110/-110	-	-
-4.5	-110 365	52%	Yusei Kikuchi	k	o 176.5	-113/-113	-	-115/-115	-	-	-	-	-110/-110	-	-
-4.5	110 ESPN	48%	Brice Turang	sb	o 39.5	'+104	'+105	-	-	-	-	-	-	'+110	-
-4.5	-120 MGM	55%	ATL	team_wins	o 93.5	-	-120/+100	-120/+100	-125/-105	-	-	-	-	-	-
-4.5	115 365	47%	Aaron Judge	hr	o 49.5	'+110	'+105	-	-	-	-	-	'+115	'+110	-
-4.6	1100 CZ	8%	Roman Anthony	roty	o  	-	-	-	-	1100	700	602	-	-	-
-4.6	-115 BV	53%	Mark Vientos	hr	u 28.5	-	-	-105/-125	-115/-115	-	-	-	-	-115/-115	-
-4.6	-105 MGM	51%	CHW	team_wins	u 54.5	-	-	-115/-105	-125/-105	-	-110/-110	-	-	-	-
-4.6	100 MGM	50%	ATL	team_wins	u 93.5	-	-120/+100	-120/+100	-125/-105	-	-	-	-	-	-
-4.7	470 FD	18%	STL	playoffs	o  	'+470/-700	'+360/-475	-	'+415/-650	425/-600	375/-560	-	-	-	-
-4.7	235 BR	30%	PHI	playoffs	u  	-300/+235	-265/+220	-	-300/+220	-250/200	-335/235	-	-	-	-
-4.8	-110 CZ	52%	Eugenio Suarez	rbi	o 79.5	-	-120	-	-	-110/-110	-	-	-110	-	-
-4.8	-105 MGM	51%	Aaron Judge	hr	o 48.5	-	-	-105/-125	-110/-120	-	-	-	-105/-115	-105/-120	-
-4.9	460 FD	18%	Anthony Volpe	sb	o 39.5	'+460	'+300	-	-	-	-	-	'+450	'+350	-
-5.1	230 365	30%	Jackson Merrill	hr	o 29.5	'+215	'+195	-	-	-	-	-	'+230	'+200	-
-5.1	-270 365	73%	Corbin Carroll	sb	o 29.5	-295	-280	-	-	-	-	-	-270	-	-
-5.1	-105 CZ	51%	Bobby Witt	sb	u 32.5	-120/-106	-	-	-	-115/-105	-	-	-115/-105	-	-
-5.2	-113 FD	53%	Logan Webb	k	o 159.5	-113/-113	-125	-115/-115	-	-	-	-	-	-115/-115	-
-5.2	-115 MGM	53%	Cody Bellinger	hr	u 21.5	-	-	-115/-115	-110/-120	-	-	-	-	-110/-115	-
-5.2	-110 BV	52%	Cody Bellinger	hr	o 21.5	-	-	-115/-115	-110/-120	-	-	-	-	-110/-115	-
-5.5	340 FD	23%	Vladimir Guerrero	hr	o 39.5	'+340	'+230	-	-	-	-	-	'+340	'+300	-
-5.5	-115 MGM	53%	Kerry Carpenter	hr	o 20.5	-	-	-115/-115	-	-	-	-	-115/-105	-115/-115	-
-5.5	-115 MGM	53%	Alex Bregman	hr	u 21.5	-105/-115	-	-105/-115	-	-	-	-	-	-115/-115	-
-5.6	-110 MGM	52%	Juan Soto	h	o 154.5	-	-	-110/-120	-110/-120	-	-	-	-110/-110	-	-
-5.6	290 FD	26%	ATL	playoffs	u  	-400/+290	-400/+270	-	-400/+275	-300/240	-335/240	-	-	-	-
-5.8	-113 FD	53%	Luis Castillo	k	u 170.5	-113/-113	-	-115/-115	-	-	-	-	-	-115/-115	-
-5.8	-113 FD	53%	Luis Castillo	k	o 170.5	-113/-113	-	-115/-115	-	-	-	-	-	-115/-115	-
-5.8	-113 FD	53%	Logan Webb	k	u 159.5	-113/-113	-	-115/-115	-	-	-	-	-	-115/-115	-
-5.9	155 365	39%	Francisco Lindor	sb	o 29.5	'+150	'+140	-	-	-	-	-	'+155	-	-
-6.5	-115 MGM	53%	Freddy Peralta	k	u 185.5	-	-	-115/-115	-115/-115	-	-	-	-	-115/-115	-
-6.5	-115 MGM	53%	Freddy Peralta	k	o 185.5	-	-	-115/-115	-115/-115	-	-	-	-	-115/-115	-
-6.7	240 DK	29%	NYM	division	o  	'+220	'+240	-	-	225	200	217	-	-	-
-6.9	325 BR	24%	MIL	division	o  	'+280	'+260	-	-	280	325	293	-	-	-
-7.4	240 ESPN	29%	Matt Olson	hr	o 39.5	'+230	'+195	-	-	-	-	-	'+230	'+240	-
-7.4	300 FD	25%	Anthony Santander	hr	o 39.5	'+300	'+230	-	-	-	-	-	'+300	-	-
-7.9	400 ESPN	20%	Willson Contreras	hr	o 29.5	'+340	'+290	-	-	-	-	-	'+375	'+400	-
-7.9	450 365	18%	Julio Rodriguez	sb	o 39.5	'+420	'+330	-	-	-	-	-	'+450	'+350	-
-8.1	300 ESPN	25%	Jarren Duran	sb	o 39.5	'+265	'+240	-	-	-	-	-	'+290	'+300	-
-8.1	360 DK	22%	Aaron Judge	hr_leader	o  	'+270	'+360	-	-	350	-	-	-	-	-
-8.3	200 FD	33%	Aaron Nola	k	o 199.5	'+200	'+180	-	-	-	185	-	'+200	-	-
-8.5	279 PN	26%	DET	division	o  	'+220	'+270	-	-	250	265	279	-	-	-
-9.0	450 FD	18%	Kyle Tucker	hr	o 39.5	'+450	'+340	-	-	-	-	-	'+400	-	-
-9.2	165 365	38%	Ketel Marte	hr	o 29.5	'+164	'+160	-	-	-	-	-	'+165	'+160	-
-9.7	455 PN	18%	Bobby Witt	mvp	o  	-	-	-	-	350	400	455	-	-	-
-9.8	400 PN	20%	NYY	league	o  	'+390	'+330	-	'+360	300	325	400	-	-	-
-9.8	350 365	22%	Austin Riley	hr	o 39.5	'+340	'+275	-	-	-	-	-	'+350	-	-
-10.1	1000 365	9%	Brent Rooker	hr	o 49.5	'+750	'+550	-	-	-	-	-	'+1000	-	-
-10.2	310 FD	24%	BAL	division	o  	'+310	'+270	-	-	250	300	298	-	-	-
-10.3	440 FD	19%	Zac Gallen	k	o 199.5	'+440	-	-	'+425	-	-	-	'+320	-	-
-10.3	650 DK	13%	CIN	division	o  	'+450	'+650	-	-	450	550	505	-	-	-
-10.4	330 CZ	23%	KC	division	o  	'+310	'+270	-	-	330	300	293	-	-	-
-10.4	550 365	15%	Aaron Judge	hr	o 59.5	'+470	'+400	-	-	-	-	-	'+550	-	-
-10.6	450 FD	18%	Mark Vientos	hr	o 39.5	'+450	'+350	-	-	-	-	-	'+400	-	-
-10.7	270 365	27%	Oneil Cruz	sb	o 29.5	'+260	'+240	-	-	-	-	-	'+270	-	-
-11.3	800 365	11%	Pete Alonso	hr	o 49.5	'+680	'+475	-	-	-	-	-	'+800	-	-
-11.4	360 FD	22%	Nico Hoerner	sb	o 39.5	'+360	'+260	-	-	-	-	-	'+360	'+350	-
-11.4	195 BR	34%	Bobby Witt	h	o 199.5	-	'+195	-	'+190	-	195	-	-	-	-
-11.9	1400 DK	7%	Dylan Cease	k_leader	o  	'+700	'+1400	-	-	850	-	-	-	-	-
-12.1	500 CZ	17%	Jasson Dominguez	roty	o  	-	-	-	-	500	450	377	-	-	-
-13.2	326 PN	23%	Paul Skenes	cy_young	o  	-	-	-	-	300	300	326	-	-	-
-13.5	650 365	13%	Trea Turner	sb	o 39.5	'+560	'+500	-	-	-	-	-	'+650	'+450	-
-14.1	304 PN	25%	Aaron Judge	mvp	o  	-	-	-	-	300	275	304	-	-	-
-14.2	900 DK	10%	LAA	playoffs	o  	'+680/-1200	'+900/-1800	-	'+650/-1400	650/-1000	800/-1667	-	-	-	-
-14.6	425 CZ	19%	Paul Skenes	k_leader	o  	'+350	'+400	-	-	425	-	-	-	-	-
-14.9	630 FD	14%	Roki Sasaki	k	o 199.5	'+630	-	-	'+550	-	-	-	'+450	-	-
-15.2	316 PN	24%	CLE	division	o  	'+300	'+300	-	-	300	300	316	-	-	-
-16.3	400 BR	20%	Dylan Crews	roty	o  	-	-	-	-	350	400	378	-	-	-
-16.6	350 BR	22%	Jose Altuve	h	o 199.5	-	'+330	-	'+330	-	350	-	-	-	-
-17.2	450 FD	18%	Jose Ramirez	hr	o 39.5	'+450	'+360	-	-	-	-	-	'+450	-	-
-17.3	520 FD	16%	Bryce Harper	hr	o 39.5	'+520	'+400	-	-	-	-	-	'+500	-	-
-17.7	700 365	12%	Julio Rodriguez	hr	o 39.5	'+680	'+450	-	-	-	-	-	'+700	-	-
-17.8	375 365	21%	Seiya Suzuki	hr	o 29.5	'+350	'+360	-	-	-	-	-	'+375	'+350	-
-18.6	650 DK	13%	Shohei Ohtani	hr_leader	o  	'+480	'+650	-	-	575	-	-	-	-	-
-18.7	550 FD	15%	ATL	league	o  	'+550	'+425	-	'+500	475	450	502	-	-	-
-19.2	1040 FD	9%	WSH	playoffs	o  	'+1040/-2500	'+850/-1400	-	'+775/-1900	700/-1300	850/-2000	-	-	-	-
-20.0	680 FD	13%	Mookie Betts	hr	o 39.5	'+680	'+500	-	-	-	-	-	'+600	-	-
-21.2	700 365	12%	Jake Burger	hr	o 39.5	'+680	'+475	-	-	-	-	-	'+700	-	-
-21.3	600 FD	14%	Kyle Schwarber	hr	o 49.5	'+600	'+475	-	-	-	-	-	'+550	-	-
-22.6	460 FD	18%	Francisco Lindor	sb	o 39.5	'+460	'+400	-	-	-	-	-	'+450	'+450	-
-23.0	450 CZ	18%	Matt Shaw	roty	o  	-	-	-	-	450	425	429	-	-	-
-23.5	2500 FD	4%	LAD	playoffs	u  	-10000/+2500	-2500/+1300	-	-10000/+1400	-5000/1500	-	-	-	-	-
-25.0	450 DK	18%	Dylan Crews	sb	o 39.5	-	'+450	-	-	-	-	-	'+425	'+450	-
-25.5	1100 365	8%	Juan Soto	hr	o 49.5	'+800	'+700	-	-	-	-	-	'+1100	-	-
-26.0	520 FD	16%	Yoshinobu Yamamoto	k	o 199.5	'+520	-	-	'+500	-	-	-	'+475	-	-
-27.6	450 BR	18%	Kyle Tucker	h	o 199.5	-	'+450	-	'+450	-	450	-	-	-	-
-29.2	739 PN	12%	PHI	league	o  	'+600	'+650	-	'+650	625	600	739	-	-	-
-30.5	1000 CZ	9%	Tarik Skubal	k_leader	o  	'+600	'+950	-	-	1000	-	-	-	-	-
-32.3	800 FD	11%	HOU	league	o  	'+800	'+650	-	'+750	700	600	667	-	-	-
-33.6	600 BR	14%	Juan Soto	mvp	o  	-	-	-	-	600	600	555	-	-	-
-34.0	650 FD	13%	BAL	league	o  	'+650	'+650	-	'+600	600	600	590	-	-	-
-34.7	1217 PN	8%	ARI	division	o  	'+1200	'+600	-	-	750	1000	1217	-	-	-
-35.1	1035 PN	9%	PIT	division	o  	'+850	'+700	-	-	900	700	1035	-	-	-
-35.3	1200 CZ	8%	Chris Sale	cy_young	o  	-	-	-	-	1200	800	867	-	-	-
-35.7	750 FD	12%	Garrett Crochet	k_leader	o  	'+750	'+750	-	-	600	-	-	-	-	-
-37.0	700 FD	12%	NYM	league	o  	'+700	'+700	-	'+650	600	650	667	-	-	-
-40.4	1000 FD	9%	Shohei Ohtani	hr	o 59.5	'+1000	'+800	-	-	-	-	-	'+800	-	-
-40.5	1000 CZ	9%	Fernando Tatis	mvp	o  	-	-	-	-	1000	850	756	-	-	-
-40.7	1300 BR	7%	Jacob Wilson	roty	o  	-	-	-	-	1000	1300	802	-	-	-
-40.7	4000 FD	2%	COL	playoffs	o  	'+4000/-100000	'+3000/-10000	-	'+2000/-10000	1400/-8000	2500/-10000	-	-	-	-
-40.8	1200 BR	8%	STL	division	o  	'+900	'+600	-	-	975	1200	1173	-	-	-
-41.2	800 BR	11%	Gunnar Henderson	mvp	o  	-	-	-	-	700	800	756	-	-	-
-41.3	923 PN	10%	BOS	league	o  	'+800	'+900	-	'+700	650	900	923	-	-	-
-44.0	802 PN	11%	Kristian Campbell	roty	o  	-	-	-	-	800	700	802	-	-	-
-44.4	1072 PN	9%	NYY	world_series	o  	'+900	'+850	-	'+900	900	725	1072	-	-	-
-45.1	1045 PN	9%	ATL	world_series	o  	'+850	'+750	-	'+850	950	850	1045	-	-	-
-45.5	1000 BR	9%	TB	division	o  	'+850	'+800	-	-	850	1000	837	-	-	-
-45.5	1000 365	9%	Matt Olson	hr	o 49.5	'+870	'+800	-	-	-	-	-	'+1000	-	-
-46.5	1100 CZ	8%	Jackson Jobe	roty	o  	-	-	-	-	1100	900	848	-	-	-
-47.2	800 BR	11%	Zack Wheeler	cy_young	o  	-	-	-	-	800	800	740	-	-	-
-47.4	1000 365	9%	Yordan Alvarez	hr	o 49.5	'+800	'+900	-	-	-	-	-	'+1000	-	-
-48.6	921 PN	10%	TEX	league	o  	'+800	'+900	-	'+800	800	850	921	-	-	-
-50.5	1400 365	7%	Anthony Santander	hr	o 49.5	'+1060	'+900	-	-	-	-	-	'+1400	-	-
-52.8	2200 CZ	4%	Will Wagner	roty	o  	-	-	-	-	2200	1100	1105	-	-	-
-53.1	1272 PN	7%	SD	division	o  	'+1100	'+1000	-	-	1000	800	1272	-	-	-
-53.5	1600 365	6%	Vladimir Guerrero	hr	o 49.5	'+1200	'+900	-	-	-	-	-	'+1600	-	-
-57.1	3500 365	3%	Matt Olson	rbi	o 149.5	-	'+1200	-	'+1200	-	-	-	'+3500	-	-
-57.2	1300 DK	7%	TOR	division	o  	'+1000	'+1300	-	-	1100	1000	910	-	-	-
-59.4	1200 FD	8%	Gunnar Henderson	hr	o 49.5	'+1200	'+900	-	-	-	-	-	'+1100	-	-
-60.3	1200 BR	8%	Bubba Chandler	roty	o  	-	-	-	-	1100	1200	912	-	-	-
-61.5	2500 FD	4%	MIA	playoffs	o  	'+2500/-10000	'+2000/-10000	-	'+1800/-6000	2200/-15000	2000/-10000	-	-	-	-
-64.1	1084 PN	8%	Blake Snell	cy_young	o  	-	-	-	-	1000	1000	1084	-	-	-
-66.5	1468 PN	6%	PHI	world_series	o  	'+1000	'+1200	-	'+1100	1200	1000	1468	-	-	-
-67.8	1300 BR	7%	MIN	league	o  	'+1000	'+1000	-	'+1100	1300	1300	1022	-	-	-
-68.9	1400 FD	7%	Marcell Ozuna	hr	o 49.5	'+1400	'+900	-	-	-	-	-	'+1400	-	-
-70.3	1282 PN	7%	Corbin Burnes	cy_young	o  	-	-	-	-	1000	1200	1282	-	-	-
-71.2	1300 BR	7%	SEA	league	o  	'+1000	'+1100	-	'+1100	1200	1300	1125	-	-	-
-72.1	1200 DK	8%	Kyle Schwarber	hr_leader	o  	'+1000	'+1200	-	-	1200	-	-	-	-	-
-72.6	5500 FD	2%	CHW	playoffs	o  	'+5500/-100000	'+4000/-20000	-	'+3000/-20000	4000/-10000000	-	-	-	-	-
-73.2	1400 CZ	7%	Blake Snell	k_leader	o  	'+1000	'+1300	-	-	1400	-	-	-	-	-
-74.3	1386 PN	7%	NYM	world_series	o  	'+1100	'+1200	-	'+1100	1100	1200	1386	-	-	-
-75.3	2000 BR	5%	Coby Mayo	roty	o  	-	-	-	-	1200	2000	1205	-	-	-
-76.6	2000 CZ	5%	Jose Ramirez	mvp	o  	-	-	-	-	2000	1000	1515	-	-	-
-77.2	1500 FD	6%	SD	league	o  	'+1500	'+1300	-	'+1000	1400	1200	1050	-	-	-
-79.0	1300 BR	7%	DET	league	o  	'+1000	'+1300	-	'+1100	1300	1300	1175	-	-	-
-79.7	1600 365	6%	Austin Riley	hr	o 49.5	'+1200	'+1200	-	-	-	-	-	'+1600	-	-
-81.3	2016 PN	5%	Elly De La Cruz	mvp	o  	-	-	-	-	1600	1000	2016	-	-	-
-84.3	1200 BR	8%	Mookie Betts	mvp	o  	-	-	-	-	1200	1200	1197	-	-	-
-86.7	1600 365	6%	Rafael Devers	hr	o 49.5	'+1300	'+1200	-	-	-	-	-	'+1600	-	-
-87.4	1515 PN	6%	Corey Seager	mvp	o  	-	-	-	-	1200	1300	1515	-	-	-
-89.4	3300 365	3%	Yordan Alvarez	rbi	o 149.5	-	'+1300	-	'+1300	-	-	-	'+3300	-	-
-91.6	1400 FD	7%	CLE	league	o  	'+1400	'+1400	-	'+1400	1300	1000	1360	-	-	-
-93.6	1600 BV	6%	ARI	league	o  	'+1500	'+1300	-	'+1600	1200	1200	1307	-	-	-
